,id,source_wsi,dataset,fold
0,0033bbc76b6b,1,1,0.0
1,00656c6f2690,1,1,0.0
2,0067d5ad2250,2,1,0.0
3,00d75ad65de3,1,1,0.0
4,00da70813521,1,1,0.0
5,0596bfb19322,1,1,0.0
6,06034408218a,1,1,0.0
7,06b972c417e7,2,1,0.0
8,072f5307f243,1,1,0.0
9,0754412b2917,2,1,0.0
10,0788fc3be62e,1,1,0.0
11,07bdbe578ded,2,1,0.0
12,089a9e6be240,1,1,0.0
13,093a52e9bc1d,1,1,0.0
14,097dd2ed6c14,2,1,0.0
15,0a10b8716b30,1,1,0.0
16,0a43459733e7,2,1,0.0
17,0a5be90855e3,2,1,0.0
18,0acd70e887b3,2,1,0.0
19,0b8029db1fb4,1,1,0.0
20,0b849dde56be,2,1,0.0
21,0b89ab7f9f07,2,1,0.0
22,0c3086bd8efb,2,1,0.0
23,0c54942878fa,1,1,0.0
24,0d6c0cfee2db,1,1,0.0
25,0d9d65340ef8,1,1,0.0
26,0dce2b8d2c25,1,1,0.0
27,0e0836cf1824,1,1,0.0
28,0e6eeb39d8f6,2,1,0.0
29,0e8aed930dc6,1,1,0.0
30,0f5b52a768e2,2,1,0.0
31,10162104cbaf,1,1,0.0
32,103906a73e6d,2,1,0.0
33,11128ba6d78c,2,1,0.0
34,1222b4306c01,1,1,0.0
35,12ab9ac0fc55,1,1,0.0
36,130d4d323ce4,1,1,0.0
37,13aa34ced90d,1,1,0.0
38,1423b40ad0dc,2,1,0.0
39,15e5df255b86,1,1,0.0
40,15ed954c0cdf,1,1,0.0
41,19551df15a1e,1,1,0.0
42,1a54cda8f32d,1,1,0.0
43,1a785cc0d167,1,1,0.0
44,1b12cccdfdd2,2,1,0.0
45,1bd726055ad8,1,1,0.0
46,1c6c39a22324,1,1,0.0
47,1c8af4861691,1,1,0.0
48,1d8aa548c370,1,1,0.0
49,1e0efbb8979f,1,1,0.0
50,1e14b9acc9b9,1,1,0.0
51,1e2fd6c2950d,2,1,0.0
52,1f0d3cd4b621,1,1,0.0
53,209426451a36,1,1,0.0
54,212fc627af24,2,1,0.0
55,2136df4a5aeb,1,1,0.0
56,214866956ea3,1,1,0.0
57,21acb908cf67,1,1,0.0
58,2320eefd8bec,2,1,0.0
59,2321d0fb53f7,1,1,0.0
60,2405b58d5b61,1,1,0.0
61,2519a0f1b867,1,1,0.0
62,257c077f001a,1,1,0.0
63,25b98e7aea78,1,1,0.0
64,26abe884958b,2,1,0.0
65,26b7c381eb73,1,1,0.0
66,274aa4b29a70,2,1,0.0
67,27661a87f456,2,1,0.0
68,27ac6c438f3b,1,1,0.0
69,2a127f0ae506,2,1,0.0
70,2a4cc81cc5d6,2,1,0.0
71,2a577425c773,1,1,0.0
72,2a9e6a294e2b,2,1,0.0
73,2ad1b19b87df,2,1,0.0
74,2af27d65509c,1,1,0.0
75,2bf7751456cd,1,1,0.0
76,2c5bd755f831,2,1,0.0
77,2c6d2cc31d81,2,1,0.0
78,2d0c1b760913,1,1,0.0
79,2dbb4700f7be,1,1,0.0
80,2fd7649afbc1,1,1,0.0
81,2feddbc54e20,2,1,0.0
82,303b72a38e29,1,1,0.0
83,3088c3e5378e,2,1,0.0
84,31195284c86e,1,1,0.0
85,327dcb16a7ef,2,1,1.0
86,32cf613e3c11,2,1,1.0
87,32d912178fdd,1,1,1.0
88,32e007559fb4,2,1,1.0
89,331c34551d3d,2,1,1.0
90,333c1d618ae3,1,1,1.0
91,3378fe495259,2,1,1.0
92,3382edde0a6c,1,1,1.0
93,349a6a8fc66e,1,1,1.0
94,34bfda589476,1,1,1.0
95,352777709276,1,1,1.0
96,352c7fdfb717,1,1,1.0
97,359bb86fa14f,1,1,1.0
98,37cac808f375,1,1,1.0
99,3879b8c84baf,2,1,1.0
100,3901bf683fc0,1,1,1.0
101,39b8aafd630b,1,1,1.0
102,3b523d3117e2,1,1,1.0
103,3b83d7668181,1,1,1.0
104,3c18fbcff68b,1,1,1.0
105,3c232223b2d0,1,1,1.0
106,3c72922e02f4,1,1,1.0
107,3cf35a0393b8,1,1,1.0
108,3d5f53402137,1,1,1.0
109,3e01bb974a1b,2,1,1.0
110,3e248be7dd4c,1,1,1.0
111,3e7e6fa84e33,2,1,1.0
112,3fa3016e2bc5,1,1,1.0
113,40ac7a9fc203,1,1,1.0
114,41225437e33e,1,1,1.0
115,43b4654b4c3d,1,1,1.0
116,43c6095181fd,2,1,1.0
117,4499a0dc7101,2,1,1.0
118,44b8b0eaa3b2,1,1,1.0
119,44c66d51c40e,2,1,1.0
120,454cf72a9ed9,1,1,1.0
121,458a92eda7b4,1,1,1.0
122,45d6f53ececf,1,1,1.0
123,465022519f3f,2,1,1.0
124,47536b25b615,2,1,1.0
125,47c4970bf049,2,1,1.0
126,481234519879,1,1,1.0
127,484301f61207,1,1,1.0
128,484656371e88,2,1,1.0
129,4865588b8b4c,2,1,1.0
130,495169bbaa46,1,1,1.0
131,4a1b99c7ab16,1,1,1.0
132,4a8a791a23cb,1,1,1.0
133,4b197545ea0e,1,1,1.0
134,4b71f2e1d1ba,2,1,1.0
135,4ba8d55f7acb,2,1,1.0
136,4c1361e4c2d8,1,1,1.0
137,4ca084aec87b,2,1,1.0
138,4eb2a2b392f6,1,1,1.0
139,4eef9950c417,1,1,1.0
140,50c80988e3ff,1,1,1.0
141,50dc42c72b45,2,1,1.0
142,51551e6feeb1,1,1,1.0
143,51a2ad418b22,2,1,1.0
144,5232ba7fa001,2,1,1.0
145,54415c6dfda4,2,1,1.0
146,54b61f30d4ec,1,1,1.0
147,5566406c59ee,1,1,1.0
148,5575d4cb055f,2,1,1.0
149,55b07829e888,1,1,1.0
150,55cab2c9c13a,2,1,1.0
151,55eef661b175,1,1,1.0
152,55f4ccb3f710,1,1,1.0
153,5631a47d5b0c,1,1,1.0
154,564283be4af8,1,1,1.0
155,573aeb182976,1,1,1.0
156,578c8b32057e,1,1,1.0
157,5790b15dde35,2,1,1.0
158,59642acc100e,1,1,1.0
159,5a22624135ab,1,1,1.0
160,5a89c7f7ad05,1,1,1.0
161,5aae1d92e0af,2,1,1.0
162,5ab182e75656,2,1,1.0
163,5ac25a1e40dd,1,1,1.0
164,5b264302144d,2,1,1.0
165,5bcde6ec2e82,2,1,1.0
166,5c48013d4c6d,1,1,1.0
167,5d0731972927,1,1,1.0
168,5de1d0bea7fe,2,1,1.0
169,5ea525251225,2,1,2.0
170,5ed19b1b6f88,1,1,1.0
171,5f9afd2ee26d,1,1,2.0
172,602d24899028,2,1,2.0
173,60649906e443,1,1,2.0
174,611599949a53,2,1,2.0
175,61409556c001,2,1,2.0
176,61f8b27a48e6,2,1,2.0
177,62bc683d8c8a,1,1,2.0
178,6443bced36cd,1,1,2.0
179,644a62eaaf2b,1,1,2.0
