,id,source_wsi,dataset,fold
0,0006ff2aa7cd,2,2,0.0
1,00168d1b7522,2,2,0.0
2,0033bbc76b6b,1,1,0.0
3,003504460b3a,3,2,0.0
4,004daf1cbe75,3,2,0.0
5,005715f0a313,3,2,0.0
6,00654cc08aac,2,2,0.0
7,00656c6f2690,1,1,0.0
8,0067d5ad2250,2,1,0.0
9,00ca2f4c8918,3,2,0.0
10,00d75ad65de3,1,1,0.0
11,00da70813521,1,1,0.0
12,00da8fdf2391,4,2,0.0
13,00f560a6a72b,3,2,0.0
14,014b60dfe193,4,2,0.0
15,016c33dacfa1,2,2,0.0
16,019390572feb,4,2,0.0
17,01a7fca6263b,1,2,0.0
18,025ec20b8b73,1,2,0.0
19,0276eb166cce,2,2,0.0
20,02cf5c2db152,3,2,0.0
21,02d2022943a4,3,2,0.0
22,02f563532696,1,2,0.0
23,033a656390b2,1,2,0.0
24,033e91059cec,4,2,0.0
25,03d335057db3,1,2,0.0
26,041588f936e1,3,2,0.0
27,041ad8166762,3,2,0.0
28,041b985201d6,2,2,0.0
29,0478279e6e16,2,2,0.0
30,04c08080b2ae,1,2,0.0
31,04eaacfbb9f6,4,2,0.0
32,055348e2fece,4,2,0.0
33,0596bfb19322,1,1,0.0
34,05dd21a61705,4,2,0.0
35,06034408218a,1,1,0.0
36,065ed4490163,3,2,0.0
37,0667203ecaac,3,2,0.0
38,0672b96aaccc,1,2,0.0
39,06b972c417e7,2,1,0.0
40,0717863ca2cb,2,2,0.0
41,07199abc71ec,4,2,0.0
42,072f5307f243,1,1,0.0
43,0754412b2917,2,1,0.0
44,0765f249adeb,2,2,0.0
45,0788fc3be62e,1,1,0.0
46,07b809228ef4,1,2,0.0
47,07bdbe578ded,2,1,0.0
48,0804072fa02a,3,2,0.0
49,0828cc1c22be,1,2,0.0
50,0870e4f9d580,2,2,0.0
51,089a9e6be240,1,1,0.0
52,08a1b468620a,4,2,0.0
53,08e2fa7b08f0,4,2,0.0
54,08ea167cfd5d,4,2,0.0
55,08ed99cd1c93,3,2,0.0
56,093a52e9bc1d,1,1,0.0
57,09644decc895,3,2,0.0
58,097dd2ed6c14,2,1,0.0
59,09c06b79292c,3,2,0.0
60,09d736c55365,3,2,0.0
61,09df7e1fe1cc,3,2,0.0
62,09e1916da449,1,2,0.0
63,09e3d02dfd1c,4,2,0.0
64,0a10b8716b30,1,1,0.0
65,0a152cf103e4,2,2,0.0
66,0a1d277fb473,3,2,0.0
67,0a43459733e7,2,1,0.0
68,0a4ddecc55f0,4,2,0.0
69,0a5be90855e3,2,1,0.0
70,0a631efbc3e4,3,2,0.0
71,0a993633aa5e,1,2,0.0
72,0ab9d193fcf6,2,2,0.0
73,0acd70e887b3,2,1,0.0
74,0ae9282b7594,4,2,0.0
75,0b8029db1fb4,1,1,0.0
76,0b849dde56be,2,1,0.0
77,0b89ab7f9f07,2,1,0.0
78,0b935dd9ef6a,2,2,0.0
79,0b989fe8238f,3,2,0.0
80,0ba172f33ea6,1,2,0.0
81,0bc3e1a729e4,1,2,0.0
82,0bd23d24a875,2,2,0.0
83,0be9b14718b9,4,2,0.0
84,0c05e3861510,4,2,0.0
85,0c3086bd8efb,2,1,0.0
86,0c54942878fa,1,1,0.0
87,0c5c322a104a,2,2,0.0
88,0cb47c96bda2,3,2,0.0
89,0cc564c74306,4,2,0.0
90,0ce440ad7080,1,2,0.0
91,0cf58cc68215,4,2,0.0
92,0d1cc52aff5f,3,2,0.0
93,0d6c0cfee2db,1,1,0.0
94,0d77d32da5e2,2,2,0.0
95,0d9d65340ef8,1,1,0.0
96,0da5596bd718,2,2,0.0
97,0dcde3819c8e,2,2,0.0
98,0dce2b8d2c25,1,1,0.0
99,0def202e0a03,4,2,0.0
100,0e0836cf1824,1,1,0.0
101,0e6eeb39d8f6,2,1,0.0
102,0e8aed930dc6,1,1,0.0
103,0e9651f77684,4,2,0.0
104,0e9cea4fd861,2,2,0.0
105,0f5b52a768e2,2,1,0.0
106,0f6e1cb07f74,1,2,0.0
107,0f960d864969,3,2,0.0
108,0ff188f666c5,4,2,0.0
109,10162104cbaf,1,1,0.0
110,103906a73e6d,2,1,0.0
111,106e8a3e8dcd,4,2,0.0
112,10b4548dcb4b,2,2,0.0
113,11128ba6d78c,2,1,0.0
114,1185d302d242,2,2,0.0
115,11b7125c2fc2,2,2,0.0
116,12040bd8cd09,4,2,0.0
117,1222b4306c01,1,1,0.0
118,1226abd93cfa,3,2,0.0
119,12989675c0b5,3,2,0.0
120,1298fde375a0,2,2,0.0
121,12ab9ac0fc55,1,1,0.0
122,12d8b41d1c0e,2,2,0.0
123,12dc33d98d35,4,2,0.0
124,130d4d323ce4,1,1,0.0
125,13aa34ced90d,1,1,0.0
126,13baed208de2,2,2,0.0
127,13e70093a1f8,1,2,0.0
128,141729073269,4,2,0.0
